Plot,Line #,Bearing (deg),Slope 1 (%),Slope dist. 1,Slope 2 (%),Slope dist. 2,Slope 3 (%),Slope dist. 3,Slope 4 (%),Slope dist. 4,Horizontal_dist,%slope1/100,squared,plus 1,square root,HD of segment 1,,%slope2/100,squared,plus 1,square root,HD of segment 2,,%slope3/100,squared,plus 1,square root,HD of segment 3,,%slope4/100,squared,plus 1,square root,HD of segment 4,,Horizontal distance: adj. line length
FR47,1,170,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR47,2,260,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR48,1,140,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR48,2,230,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR49,1,300,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR49,2,30,20,50,,,,,,,,0.2,0.04,1.04,1.019803903,49.02903378,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.02903378
FR50,1,350,10,50,,,,,,,,0.1,0.01,1.01,1.004987562,49.75185951,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.75185951
FR50,2,260,10,50,,,,,,,,0.1,0.01,1.01,1.004987562,49.75185951,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.75185951
FR51,1,130,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR51,2,220,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR52,1,250,95,9,0,41,,,,,,0.95,0.9025,1.9025,1.379311422,6.524994902,,0,0,1,1,41,,0,0,1,1,0,,0,0,1,1,0,,47.5249949
FR52,2,160,35,50,,,,,,,,0.35,0.1225,1.1225,1.059481005,47.19291782,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,47.19291782
FR53,1,100,3,50,,,,,,,,0.03,0.0009,1.0009,1.000449899,49.97751518,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.97751518
FR53,2,190,3,50,,,,,,,,0.03,0.0009,1.0009,1.000449899,49.97751518,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.97751518
FR54,1,270,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR54,2,360,2,50,,,,,,,,0.02,0.0004,1.0004,1.00019998,49.990003,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.990003
FR55,1,250,17,50,,,,,,,,0.17,0.0289,1.0289,1.014347081,49.29279233,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.29279233
